study,participant_id,arm,condition_id,item,value,E_sub,E_info,E_func,E_selfID,E_transition,condition_role,position,attention_pass,condition_label,item_label
catman_pilot_v1,P092,manipulation,C07,pc_sub,1,cat,retain,retain,affirm,discontinuous,standard,1,1,Body + transition,Body continuity
catman_pilot_v1,P092,manipulation,C07,pc_info,7,cat,retain,retain,affirm,discontinuous,standard,1,1,Body + transition,Memory continuity
catman_pilot_v1,P092,manipulation,C07,pc_func,2,cat,retain,retain,affirm,discontinuous,standard,1,1,Body + transition,Functional continuity
catman_pilot_v1,P092,manipulation,C07,pc_self,4,cat,retain,retain,affirm,discontinuous,standard,1,1,Body + transition,Self-continuity
catman_pilot_v1,P092,manipulation,C07,pc_tran,1,cat,retain,retain,affirm,discontinuous,standard,1,1,Body + transition,Transition continuity
catman_pilot_v1,P092,manipulation,C07,k_copy,5,cat,retain,retain,affirm,discontinuous,standard,1,1,Body + transition,Copy-likeness
catman_pilot_v1,P092,manipulation,C07,k_term,1,cat,retain,retain,affirm,discontinuous,standard,1,1,Body + transition,Termination
catman_pilot_v1,P092,manipulation,C02,pc_sub,1,cat,retain,retain,affirm,continuous,standard,2,1,Body,Body continuity
catman_pilot_v1,P092,manipulation,C02,pc_info,7,cat,retain,retain,affirm,continuous,standard,2,1,Body,Memory continuity
catman_pilot_v1,P092,manipulation,C02,pc_func,2,cat,retain,retain,affirm,continuous,standard,2,1,Body,Functional continuity
catman_pilot_v1,P092,manipulation,C02,pc_self,7,cat,retain,retain,affirm,continuous,standard,2,1,Body,Self-continuity
catman_pilot_v1,P092,manipulation,C02,pc_tran,5,cat,retain,retain,affirm,continuous,standard,2,1,Body,Transition continuity
catman_pilot_v1,P092,manipulation,C03,pc_sub,7,human,lost,retain,affirm,continuous,standard,3,1,Memory,Body continuity
catman_pilot_v1,P092,manipulation,C03,pc_info,1,human,lost,retain,affirm,continuous,standard,3,1,Memory,Memory continuity
catman_pilot_v1,P092,manipulation,C03,pc_func,7,human,lost,retain,affirm,continuous,standard,3,1,Memory,Functional continuity
catman_pilot_v1,P092,manipulation,C03,pc_self,7,human,lost,retain,affirm,continuous,standard,3,1,Memory,Self-continuity
catman_pilot_v1,P092,manipulation,C03,pc_tran,7,human,lost,retain,affirm,continuous,standard,3,1,Memory,Transition continuity
catman_pilot_v1,P092,manipulation,C06,pc_sub,7,human,retain,retain,affirm,discontinuous,standard,4,1,Transition,Body continuity
catman_pilot_v1,P092,manipulation,C06,pc_info,7,human,retain,retain,affirm,discontinuous,standard,4,1,Transition,Memory continuity
catman_pilot_v1,P092,manipulation,C06,pc_func,7,human,retain,retain,affirm,discontinuous,standard,4,1,Transition,Functional continuity
catman_pilot_v1,P092,manipulation,C06,pc_self,7,human,retain,retain,affirm,discontinuous,standard,4,1,Transition,Self-continuity
catman_pilot_v1,P092,manipulation,C06,pc_tran,4,human,retain,retain,affirm,discontinuous,standard,4,1,Transition,Transition continuity
catman_pilot_v1,P092,manipulation,C06,k_copy,2,human,retain,retain,affirm,discontinuous,standard,4,1,Transition,Copy-likeness
catman_pilot_v1,P092,manipulation,C06,k_term,7,human,retain,retain,affirm,discontinuous,standard,4,1,Transition,Termination
