participant_id,arm,duration_min,presentation_order,attention_pass,attention_choice,age_band,gender,background,n_items
P072,judgment,7.870000,C06|C01|C07|C05|C04|C02|C03|A10|C08|A09,1,0,25-34,Man,Yes,54
P084,judgment,8.340000,C02|C07|C05|C06|A10|C08|C03|C01|A09|C04,1,0,18-24,Man,Yes,54
P008,judgment,9.960000,C01|C07|C08|C03|A09|C06|C04|C02|C05|A10,1,0,25-34,Woman,No,54
P095,judgment,10.870000,C06|C03|C01|C07|A10|A09|C04|C08|C02|C05,1,0,not_reported,Man,No,54
P002,judgment,10.720000,C01|C08|C04|C07|A09|C03|C06|A10|C02|C05,1,0,35-44,Man,No,54
P048,judgment,10.380000,C04|C08|C06|C07|C01|A10|A09|C05|C02|C03,1,0,25-34,Woman,No,54
P079,judgment,11.360000,C01|C02|C08|C06|C05|C04|C03|C07|A10|A09,1,0,18-24,Man,Yes,54
P033,judgment,10.730000,C03|C05|C07|C01|A09|C04|C02|C08|A10|C06,1,0,45-54,Woman,No,54
P067,judgment,11.450000,C01|C02|C08|C07|C06|C03|C04|C05|A09|A10,1,0,25-34,Woman,No,54
P060,judgment,11.950000,C06|C07|C05|C03|C04|C02|C08|A09|A10|C01,1,0,18-24,Man,No,54
P010,judgment,12.220000,C02|C04|C08|C03|C06|C07|C01|A09|C05|A10,1,0,35-44,Man,No,54
P005,judgment,12.630000,C03|C04|C07|C02|C08|C01|C06|A09|A10|C05,1,0,55+,Man,No,54
P012,judgment,12.440000,C08|C06|C07|C04|C01|C02|A10|C05|A09|C03,1,0,25-34,Man,No,54
P018,judgment,12.400000,C01|C02|C05|C07|C04|C03|A09|C08|A10|C06,1,0,45-54,Woman,Yes,54
P016,judgment,13.090000,C08|C02|C01|C06|C04|C07|A09|C05|A10|C03,1,0,35-44,Man,No,54
P028,judgment,13.400000,C03|C07|C02|C08|C01|A09|C06|C05|A10|C04,1,0,25-34,Man,No,54
P086,judgment,11.260000,C06|C07|C03|C04|A09|A10|C02|C05|C01|C08,1,0,25-34,Man,No,54
