study,participant_id,arm,condition_id,item,value,E_sub,E_info,E_func,E_selfID,E_transition,condition_role,position,attention_pass
catman_pilot_v1,P072,judgment,C06,j_identity,6,human,retain,retain,affirm,discontinuous,standard,1,1
catman_pilot_v1,P072,judgment,C06,j_likeness,7,human,retain,retain,affirm,discontinuous,standard,1,1
catman_pilot_v1,P072,judgment,C06,j_relationship,6,human,retain,retain,affirm,discontinuous,standard,1,1
catman_pilot_v1,P072,judgment,C06,j_obligation,7,human,retain,retain,affirm,discontinuous,standard,1,1
catman_pilot_v1,P072,judgment,C06,j_treatment,6,human,retain,retain,affirm,discontinuous,standard,1,1
catman_pilot_v1,P072,judgment,C01,j_identity,7,human,retain,retain,affirm,continuous,standard,2,1
catman_pilot_v1,P072,judgment,C01,j_likeness,7,human,retain,retain,affirm,continuous,standard,2,1
catman_pilot_v1,P072,judgment,C01,j_relationship,7,human,retain,retain,affirm,continuous,standard,2,1
catman_pilot_v1,P072,judgment,C01,j_obligation,7,human,retain,retain,affirm,continuous,standard,2,1
catman_pilot_v1,P072,judgment,C01,j_treatment,7,human,retain,retain,affirm,continuous,standard,2,1
catman_pilot_v1,P072,judgment,C07,j_identity,5,cat,retain,retain,affirm,discontinuous,standard,3,1
catman_pilot_v1,P072,judgment,C07,j_likeness,6,cat,retain,retain,affirm,discontinuous,standard,3,1
catman_pilot_v1,P072,judgment,C07,j_relationship,6,cat,retain,retain,affirm,discontinuous,standard,3,1
catman_pilot_v1,P072,judgment,C07,j_obligation,7,cat,retain,retain,affirm,discontinuous,standard,3,1
catman_pilot_v1,P072,judgment,C07,j_treatment,5,cat,retain,retain,affirm,discontinuous,standard,3,1
catman_pilot_v1,P072,judgment,C05,j_identity,7,human,retain,retain,uncertain,continuous,standard,4,1
catman_pilot_v1,P072,judgment,C05,j_likeness,7,human,retain,retain,uncertain,continuous,standard,4,1
catman_pilot_v1,P072,judgment,C05,j_relationship,7,human,retain,retain,uncertain,continuous,standard,4,1
catman_pilot_v1,P072,judgment,C05,j_obligation,7,human,retain,retain,uncertain,continuous,standard,4,1
catman_pilot_v1,P072,judgment,C05,j_treatment,7,human,retain,retain,uncertain,continuous,standard,4,1
catman_pilot_v1,P072,judgment,C04,j_identity,7,human,retain,limited,affirm,continuous,standard,5,1
catman_pilot_v1,P072,judgment,C04,j_likeness,6,human,retain,limited,affirm,continuous,standard,5,1
catman_pilot_v1,P072,judgment,C04,j_relationship,7,human,retain,limited,affirm,continuous,standard,5,1
catman_pilot_v1,P072,judgment,C04,j_obligation,7,human,retain,limited,affirm,continuous,standard,5,1
catman_pilot_v1,P072,judgment,C04,j_treatment,6,human,retain,limited,affirm,continuous,standard,5,1
catman_pilot_v1,P072,judgment,C02,j_identity,6,cat,retain,retain,affirm,continuous,standard,6,1
catman_pilot_v1,P072,judgment,C02,j_likeness,6,cat,retain,retain,affirm,continuous,standard,6,1
catman_pilot_v1,P072,judgment,C02,j_relationship,7,cat,retain,retain,affirm,continuous,standard,6,1
catman_pilot_v1,P072,judgment,C02,j_obligation,7,cat,retain,retain,affirm,continuous,standard,6,1
catman_pilot_v1,P072,judgment,C02,j_treatment,6,cat,retain,retain,affirm,continuous,standard,6,1
catman_pilot_v1,P072,judgment,C03,j_identity,4,human,lost,retain,affirm,continuous,standard,7,1
catman_pilot_v1,P072,judgment,C03,j_likeness,5,human,lost,retain,affirm,continuous,standard,7,1
catman_pilot_v1,P072,judgment,C03,j_relationship,4,human,lost,retain,affirm,continuous,standard,7,1
catman_pilot_v1,P072,judgment,C03,j_obligation,4,human,lost,retain,affirm,continuous,standard,7,1
catman_pilot_v1,P072,judgment,C03,j_treatment,4,human,lost,retain,affirm,continuous,standard,7,1
catman_pilot_v1,P072,judgment,A10,j_ab,7,cat,retain,retain,affirm,parallel,anchor,8,1
catman_pilot_v1,P072,judgment,A10,j_ac,6,cat,retain,retain,affirm,parallel,anchor,8,1
catman_pilot_v1,P072,judgment,A10,j_bc,2,cat,retain,retain,affirm,parallel,anchor,8,1
catman_pilot_v1,P072,judgment,A10,j_excl,7,cat,retain,retain,affirm,parallel,anchor,8,1
catman_pilot_v1,P072,judgment,A10,j_relationship,6,cat,retain,retain,affirm,parallel,anchor,8,1
catman_pilot_v1,P072,judgment,A10,j_obligation,7,cat,retain,retain,affirm,parallel,anchor,8,1
catman_pilot_v1,P072,judgment,A10,j_treatment,6,cat,retain,retain,affirm,parallel,anchor,8,1
catman_pilot_v1,P072,judgment,C08,j_identity,4,human,lost,retain,affirm,discontinuous,standard,9,1
catman_pilot_v1,P072,judgment,C08,j_likeness,5,human,lost,retain,affirm,discontinuous,standard,9,1
catman_pilot_v1,P072,judgment,C08,j_relationship,4,human,lost,retain,affirm,discontinuous,standard,9,1
catman_pilot_v1,P072,judgment,C08,j_obligation,4,human,lost,retain,affirm,discontinuous,standard,9,1
catman_pilot_v1,P072,judgment,C08,j_treatment,4,human,lost,retain,affirm,discontinuous,standard,9,1
catman_pilot_v1,P072,judgment,A09,j_identity,7,human,retain,retain,deny,continuous,anchor,10,1
catman_pilot_v1,P072,judgment,A09,j_likeness,7,human,retain,retain,deny,continuous,anchor,10,1
catman_pilot_v1,P072,judgment,A09,j_relationship,7,human,retain,retain,deny,continuous,anchor,10,1
catman_pilot_v1,P072,judgment,A09,j_obligation,7,human,retain,retain,deny,continuous,anchor,10,1
catman_pilot_v1,P072,judgment,A09,j_treatment,6,human,retain,retain,deny,continuous,anchor,10,1
catman_pilot_v1,P072,judgment,A09,v_epistemic,2,human,retain,retain,deny,continuous,anchor,10,1
catman_pilot_v1,P072,judgment,A09,v_normative,6,human,retain,retain,deny,continuous,anchor,10,1
catman_pilot_v1,P080,judgment,C02,j_identity,6,cat,retain,retain,affirm,continuous,standard,1,0
catman_pilot_v1,P080,judgment,C02,j_likeness,5,cat,retain,retain,affirm,continuous,standard,1,0
catman_pilot_v1,P080,judgment,C02,j_relationship,5,cat,retain,retain,affirm,continuous,standard,1,0
catman_pilot_v1,P080,judgment,C02,j_obligation,4,cat,retain,retain,affirm,continuous,standard,1,0
catman_pilot_v1,P080,judgment,C02,j_treatment,6,cat,retain,retain,affirm,continuous,standard,1,0
catman_pilot_v1,P080,judgment,C05,j_identity,5,human,retain,retain,uncertain,continuous,standard,2,0
catman_pilot_v1,P080,judgment,C05,j_likeness,6,human,retain,retain,uncertain,continuous,standard,2,0
catman_pilot_v1,P080,judgment,C05,j_relationship,6,human,retain,retain,uncertain,continuous,standard,2,0
catman_pilot_v1,P080,judgment,C05,j_obligation,5,human,retain,retain,uncertain,continuous,standard,2,0
catman_pilot_v1,P080,judgment,C05,j_treatment,4,human,retain,retain,uncertain,continuous,standard,2,0
catman_pilot_v1,P080,judgment,C04,j_identity,5,human,retain,limited,affirm,continuous,standard,3,0
catman_pilot_v1,P080,judgment,C04,j_likeness,6,human,retain,limited,affirm,continuous,standard,3,0
catman_pilot_v1,P080,judgment,C04,j_relationship,5,human,retain,limited,affirm,continuous,standard,3,0
catman_pilot_v1,P080,judgment,C04,j_obligation,5,human,retain,limited,affirm,continuous,standard,3,0
catman_pilot_v1,P080,judgment,C04,j_treatment,6,human,retain,limited,affirm,continuous,standard,3,0
catman_pilot_v1,P080,judgment,C06,j_identity,5,human,retain,retain,affirm,discontinuous,standard,4,0
catman_pilot_v1,P080,judgment,C06,j_likeness,4,human,retain,retain,affirm,discontinuous,standard,4,0
catman_pilot_v1,P080,judgment,C06,j_relationship,4,human,retain,retain,affirm,discontinuous,standard,4,0
catman_pilot_v1,P080,judgment,C06,j_obligation,5,human,retain,retain,affirm,discontinuous,standard,4,0
catman_pilot_v1,P080,judgment,C06,j_treatment,4,human,retain,retain,affirm,discontinuous,standard,4,0
catman_pilot_v1,P080,judgment,C08,j_identity,6,human,lost,retain,affirm,discontinuous,standard,5,0
catman_pilot_v1,P080,judgment,C08,j_likeness,4,human,lost,retain,affirm,discontinuous,standard,5,0
catman_pilot_v1,P080,judgment,C08,j_relationship,6,human,lost,retain,affirm,discontinuous,standard,5,0
catman_pilot_v1,P080,judgment,C08,j_obligation,6,human,lost,retain,affirm,discontinuous,standard,5,0
catman_pilot_v1,P080,judgment,C08,j_treatment,5,human,lost,retain,affirm,discontinuous,standard,5,0
catman_pilot_v1,P080,judgment,C07,j_identity,6,cat,retain,retain,affirm,discontinuous,standard,6,0
catman_pilot_v1,P080,judgment,C07,j_likeness,5,cat,retain,retain,affirm,discontinuous,standard,6,0
catman_pilot_v1,P080,judgment,C07,j_relationship,6,cat,retain,retain,affirm,discontinuous,standard,6,0
catman_pilot_v1,P080,judgment,C07,j_obligation,6,cat,retain,retain,affirm,discontinuous,standard,6,0
catman_pilot_v1,P080,judgment,C07,j_treatment,5,cat,retain,retain,affirm,discontinuous,standard,6,0
catman_pilot_v1,P080,judgment,C03,j_identity,6,human,lost,retain,affirm,continuous,standard,7,0
catman_pilot_v1,P080,judgment,C03,j_likeness,6,human,lost,retain,affirm,continuous,standard,7,0
