participant_id,arm,duration_min,presentation_order,attention_pass,attention_choice,age_band,gender,background,n_items
P072,judgment,7.87,C06|C01|C07|C05|C04|C02|C03|A10|C08|A09,1,0,25-34,Man,Yes,54
P080,judgment,3.04,C02|C05|C04|C06|C08|C07|C03|A09|A10|C01,0,3,18-24,Man,Yes,54
P084,judgment,8.34,C02|C07|C05|C06|A10|C08|C03|C01|A09|C04,1,0,18-24,Man,Yes,54
P065,judgment,10.01,C06|C08|C07|C03|C05|A10|C01|C04|A09|C02,0,2,35-44,Woman,Yes,54
P008,judgment,9.96,C01|C07|C08|C03|A09|C06|C04|C02|C05|A10,1,0,25-34,Woman,No,54
P095,judgment,10.87,C06|C03|C01|C07|A10|A09|C04|C08|C02|C05,1,0,not_reported,Man,No,54
P002,judgment,10.72,C01|C08|C04|C07|A09|C03|C06|A10|C02|C05,1,0,35-44,Man,No,54
P048,judgment,10.38,C04|C08|C06|C07|C01|A10|A09|C05|C02|C03,1,0,25-34,Woman,No,54
P079,judgment,11.36,C01|C02|C08|C06|C05|C04|C03|C07|A10|A09,1,0,18-24,Man,Yes,54
P033,judgment,10.73,C03|C05|C07|C01|A09|C04|C02|C08|A10|C06,1,0,45-54,Woman,No,54
P067,judgment,11.45,C01|C02|C08|C07|C06|C03|C04|C05|A09|A10,1,0,25-34,Woman,No,54
P060,judgment,11.95,C06|C07|C05|C03|C04|C02|C08|A09|A10|C01,1,0,18-24,Man,No,54
P010,judgment,12.22,C02|C04|C08|C03|C06|C07|C01|A09|C05|A10,1,0,35-44,Man,No,54
P005,judgment,12.63,C03|C04|C07|C02|C08|C01|C06|A09|A10|C05,1,0,55+,Man,No,54
P012,judgment,12.44,C08|C06|C07|C04|C01|C02|A10|C05|A09|C03,1,0,25-34,Man,No,54
P018,judgment,12.4,C01|C02|C05|C07|C04|C03|A09|C08|A10|C06,1,0,45-54,Woman,Yes,54
P016,judgment,13.09,C08|C02|C01|C06|C04|C07|A09|C05|A10|C03,1,0,35-44,Man,No,54
P028,judgment,13.4,C03|C07|C02|C08|C01|A09|C06|C05|A10|C04,1,0,25-34,Man,No,54
P086,judgment,11.26,C06|C07|C03|C04|A09|A10|C02|C05|C01|C08,1,0,25-34,Man,No,54
P063,judgment,14.04,C04|C01|C03|C02|A10|C07|C06|C05|C08|A09,1,0,35-44,Woman,No,54
P097,judgment,14.72,C01|C02|C05|C06|C03|C08|C07|A10|A09|C04,1,0,35-44,Woman,Yes,54
P037,judgment,15.04,C03|C06|C01|C04|C05|A09|C02|C07|A10|C08,1,0,25-34,Man,No,54
P017,judgment,13.18,C07|C06|C08|C02|C03|C01|A10|A09|C05|C04,1,0,55+,Man,No,54
P039,judgment,13.89,C05|C08|C04|C03|C07|C02|A10|C01|C06|A09,1,0,18-24,Man,No,54
P032,judgment,15.26,C04|C03|C01|C08|C07|A10|A09|C02|C06|C05,1,0,55+,Woman,No,54
P058,judgment,15.84,C03|C04|C08|C07|C01|C06|A09|C05|C02|A10,1,0,18-24,Woman,No,54
P092,manipulation,11.47,C07|C02|C03|C06|A09|C08|C05|C01|C04|A10,1,0,25-34,Woman,No,59
P083,judgment,15.95,C01|C05|C03|C02|C04|C06|A10|C07|A09|C08,1,0,35-44,Woman,Prefer not to say,54
P071,judgment,16.81,C04|C05|C03|C01|C08|C06|A09|A10|C02|C07,1,0,18-24,Woman,Yes,54
P074,judgment,16.67,C03|C01|C08|C06|C04|A09|C07|A10|C05|C02,1,0,35-44,Woman,Prefer not to say,54
P030,judgment,17,C07|C05|C03|C06|C01|A09|C08|A10|C02|C04,1,0,55+,Man,No,54
P069,judgment,16.64,C01|C05|C04|C06|A10|C07|A09|C02|C03|C08,1,0,25-34,Woman,No,54
P026,judgment,17.53,C07|C02|C08|C03|C01|A10|C06|C05|A09|C04,1,0,25-34,Man,No,54
P029,judgment,17.43,C06|C08|C03|C04|C02|A10|C05|C07|A09|C01,1,0,25-34,Woman,No,54
P025,judgment,17.87,C06|C03|C02|C07|C05|C01|A09|A10|C04|C08,1,0,45-54,Woman,Yes,54
P057,judgment,17.67,C03|C08|C06|C07|A09|C04|C01|C02|A10|C05,1,0,25-34,Man,No,54
P075,judgment,18.76,C07|C02|C03|C04|C06|C08|A09|C01|C05|A10,1,0,35-44,Woman,No,54
P047,judgment,16.41,C06|C01|C02|C03|C04|C08|C07|A10|C05|A09,1,0,18-24,Man,Yes,54
P089,judgment,19.08,C05|C07|C08|C04|C06|C01|A09|A10|C02|C03,1,0,18-24,Man,Yes,54
P054,judgment,17.5,C02|C03|C05|C08|C06|A09|C04|C07|C01|A10,1,0,45-54,Woman,Yes,54
P099,judgment,18.36,C01|C07|C03|C02|A09|C04|A10|C05|C06|C08,1,0,25-34,Woman,No,54
