n,mean_difference,sd_difference,se_difference,ci95_low,ci95_high,dz,t,df,p_ttest,condition_id,condition_label,baseline_id,item,item_label,baseline_mean,condition_mean,sample,contrast
49,-1.734694,2.270972,0.324425,-2.386993,-1.082395,-0.763855,-5.346987,48,0.000002,C02,Body,C01,j_identity,Identity,5.142857,3.408163,attention_pass,Body
49,-3.020408,2.126125,0.303732,-3.631103,-2.409714,-1.420616,-9.944314,48,0.000000,C02,Body,C01,j_likeness,Likeness,6.346939,3.326531,attention_pass,Body
49,-1.653061,2.005732,0.286533,-2.229175,-1.076948,-0.824169,-5.769181,48,0.000001,C02,Body,C01,j_relationship,Relationship,5.938776,4.285714,attention_pass,Body
49,-1.489796,2.062790,0.294684,-2.082298,-0.897293,-0.722224,-5.055567,48,0.000007,C02,Body,C01,j_obligation,Obligation,5.714286,4.224490,attention_pass,Body
49,-1.673469,2.375112,0.339302,-2.355681,-0.991258,-0.704585,-4.932098,48,0.000010,C02,Body,C01,j_treatment,Treatment,5.632653,3.959184,attention_pass,Body
49,-2.163265,2.383511,0.340502,-2.847889,-1.478641,-0.907596,-6.353174,48,0.000000,C03,Memory,C01,j_identity,Identity,5.142857,2.979592,attention_pass,Memory
49,-1.897959,1.794028,0.256290,-2.413264,-1.382654,-1.057932,-7.405521,48,0.000000,C03,Memory,C01,j_likeness,Likeness,6.346939,4.448980,attention_pass,Memory
49,-3.061224,2.014615,0.287802,-3.639889,-2.482560,-1.519508,-10.636559,48,0.000000,C03,Memory,C01,j_relationship,Relationship,5.938776,2.877551,attention_pass,Memory
49,-3.061224,1.972817,0.281831,-3.627884,-2.494565,-1.551702,-10.861916,48,0.000000,C03,Memory,C01,j_obligation,Obligation,5.714286,2.653061,attention_pass,Memory
49,-2.204082,2.198291,0.314042,-2.835505,-1.572659,-1.002634,-7.018439,48,0.000000,C03,Memory,C01,j_treatment,Treatment,5.632653,3.428571,attention_pass,Memory
49,-0.591837,2.474186,0.353455,-1.302506,0.118833,-0.239205,-1.674432,48,0.100550,C04,Function,C01,j_identity,Identity,5.142857,4.551020,attention_pass,Function
49,-1.020408,1.506787,0.215255,-1.453208,-0.587608,-0.677208,-4.740455,48,0.000019,C04,Function,C01,j_likeness,Likeness,6.346939,5.326531,attention_pass,Function
49,-0.530612,1.515229,0.216461,-0.965837,-0.095388,-0.350186,-2.451304,48,0.017926,C04,Function,C01,j_relationship,Relationship,5.938776,5.408163,attention_pass,Function
