n,mean_difference,sd_difference,se_difference,ci95_low,ci95_high,dz,t,df,p_ttest,contrast,item,item_label,p_fdr_all_10
49,-0.102041,2.210250,0.315750,-0.736899,0.532817,-0.046167,-0.323170,48,0.747970,Body × transition,j_identity,Identity,0.831078
49,0.571429,1.658312,0.236902,0.095106,1.047752,0.344584,2.412091,48,0.019733,Body × transition,j_likeness,Likeness,0.049333
49,0.163265,1.863542,0.266220,-0.372006,0.698537,0.087610,0.613271,48,0.542592,Body × transition,j_relationship,Relationship,0.678240
49,-0.040816,1.567365,0.223909,-0.491016,0.409383,-0.026041,-0.182290,48,0.856123,Body × transition,j_obligation,Obligation,0.856123
49,-0.244898,2.314183,0.330598,-0.909609,0.419813,-0.105825,-0.740774,48,0.462439,Body × transition,j_treatment,Treatment,0.660627
49,0.612245,2.439402,0.348486,-0.088433,1.312923,0.250982,1.756871,48,0.085317,Memory × transition,j_identity,Identity,0.163634
49,0.734694,1.538066,0.219724,0.292910,1.176478,0.477674,3.343717,48,0.001610,Memory × transition,j_likeness,Likeness,0.016099
49,0.897959,2.320604,0.331515,0.231404,1.564515,0.386951,2.708654,48,0.009336,Memory × transition,j_relationship,Relationship,0.044679
49,0.775510,2.114093,0.302013,0.168272,1.382749,0.366829,2.567802,48,0.013404,Memory × transition,j_obligation,Obligation,0.044679
49,0.571429,2.371708,0.338815,-0.109806,1.252663,0.240935,1.686548,48,0.098180,Memory × transition,j_treatment,Treatment,0.163634
