n,mean_difference,sd_difference,se_difference,ci95_low,ci95_high,dz,t,df,p_ttest,condition_id,condition_label,baseline_id,item,item_label,baseline_mean,condition_mean,contrast,target_item,is_target,p_fdr_all_30
50,-5.360000,1.848993,0.261487,-5.885478,-4.834522,-2.898875,-20.498142,49,0.000000,C02,Body,C01,pc_sub,Body continuity,6.700000,1.340000,Body,pc_sub,True,0.000000
50,-0.060000,0.239898,0.033927,-0.128178,0.008178,-0.250106,-1.768519,49,0.083199,C02,Body,C01,pc_info,Memory continuity,6.840000,6.780000,Body,pc_sub,False,0.155587
50,-0.760000,1.393278,0.197039,-1.155965,-0.364035,-0.545476,-3.857098,49,0.000335,C02,Body,C01,pc_func,Functional continuity,6.780000,6.020000,Body,pc_sub,False,0.001436
50,-0.620000,1.839365,0.260126,-1.142742,-0.097258,-0.337073,-2.383464,49,0.021070,C02,Body,C01,pc_self,Self-continuity,6.380000,5.760000,Body,pc_sub,False,0.052676
50,0.000000,2.118914,0.299660,-0.602189,0.602189,0.000000,0.000000,49,1.000000,C02,Body,C01,pc_tran,Transition continuity,5.500000,5.500000,Body,pc_sub,False,1.000000
50,-0.220000,1.035887,0.146496,-0.514396,0.074396,-0.212378,-1.501742,49,0.139581,C03,Memory,C01,pc_sub,Body continuity,6.700000,6.480000,Memory,pc_info,False,0.232635
50,-5.280000,1.773271,0.250778,-5.783958,-4.776042,-2.977548,-21.054447,49,0.000000,C03,Memory,C01,pc_info,Memory continuity,6.840000,1.560000,Memory,pc_info,True,0.000000
50,-0.620000,1.537159,0.217387,-1.056856,-0.183144,-0.403342,-2.852055,49,0.006343,C03,Memory,C01,pc_func,Functional continuity,6.780000,6.160000,Memory,pc_info,False,0.019029
50,-0.740000,1.782111,0.252029,-1.246470,-0.233530,-0.415238,-2.936176,49,0.005049,C03,Memory,C01,pc_self,Self-continuity,6.380000,5.640000,Memory,pc_info,False,0.016829
50,-0.260000,2.328265,0.329266,-0.921685,0.401685,-0.111671,-0.789634,49,0.433546,C03,Memory,C01,pc_tran,Transition continuity,5.500000,5.240000,Memory,pc_info,False,0.565495
50,-0.120000,0.328261,0.046423,-0.213291,-0.026709,-0.365563,-2.584921,49,0.012768,C04,Function,C01,pc_sub,Body continuity,6.700000,6.580000,Function,pc_func,False,0.034823
50,-0.340000,1.080627,0.152824,-0.647111,-0.032889,-0.314632,-2.224785,49,0.030732,C04,Function,C01,pc_info,Memory continuity,6.840000,6.500000,Function,pc_func,False,0.066758
50,-4.960000,1.603058,0.226707,-5.415584,-4.504416,-3.094086,-21.878491,49,0.000000,C04,Function,C01,pc_func,Functional continuity,6.780000,1.820000,Function,pc_func,True,0.000000
50,-0.980000,1.994789,0.282106,-1.546913,-0.413087,-0.491280,-3.473874,49,0.001083,C04,Function,C01,pc_self,Self-continuity,6.380000,5.400000,Function,pc_func,False,0.004060
