n,r,ci95_low,ci95_high,p,item_x,item_y,p_fdr_10
49,0.395326,0.128403,0.608841,0.004933,j_identity,j_likeness,0.005481
49,0.488898,0.240807,0.677020,0.000365,j_identity,j_relationship,0.000513
49,0.588425,0.368142,0.746160,0.000009,j_identity,j_obligation,0.000017
49,0.621601,0.412508,0.768475,0.000002,j_identity,j_treatment,0.000005
49,0.485175,0.236204,0.674368,0.000410,j_likeness,j_relationship,0.000513
49,0.319516,0.042102,0.551190,0.025228,j_likeness,j_obligation,0.025228
49,0.535443,0.299312,0.709773,0.000074,j_likeness,j_treatment,0.000123
49,0.769919,0.623766,0.864050,0.000000,j_relationship,j_obligation,0.000000
49,0.745466,0.587401,0.848746,0.000000,j_relationship,j_treatment,0.000000
49,0.664724,0.471696,0.796955,0.000000,j_obligation,j_treatment,0.000001
